Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Tid
27.32%    FrameProcessing  23790
14.69%    glide-animation  18657
14.65%    glide-animation  18658
13.71%    HeapTaskDaemon   15211
9.71%     mqt_js           15311
4.54%     RenderThread     15278
4.02%     GLThread 2003    23778
3.40%     Binder:15197_1   15215
3.15%     mqt_native_modu  15312
2.18%     com.zamface      15197
0.71%     Binder:15197_5   18029
0.32%     glide-disk-cach  15370
0.18%     glide-source-th  15382
0.17%     HybridData Dest  15305
0.15%     CountlyConnecti  15437
0.12%     hades            15313
0.11%     glide-source-th  15384
0.09%     glide-source-th  15391
0.07%     CameraHandlerTh  23789
0.05%     Countly_cmd      15434
0.05%     pool-12-thread-  15229
0.03%     FrameMetricsAgg  15289
0.03%     Measurement Wor  25973
0.03%     FinalizerDaemon  15213
0.02%     MakeupCamIntern  23791
0.02%     RxSchedulerPurg  15418
0.02%     ReferenceQueueD  15212
0.01%     alhost:3000/...  23551
0.01%     Jit thread pool  15210
0.01%     Profile Saver    15219
0.01%     logThread        15335
0.01%     pool-4-thread-1  15291
0.01%     glide-source-th  15383
0.01%     PfRxCachedThrea  23776
0.01%     AsyncTask #1     15252
0.01%     PfRxCachedThrea  15512
0.01%     PfRxCachedThrea  23757
0.01%     PfRxCachedThrea  20737
0.01%     mface.co.kr/...  23551
0.01%     PfRxCachedThrea  20731
0.01%     PfRxCachedThrea  23692
0.01%     PfRxCachedThrea  23697
0.01%     PfRxCachedThrea  23765
0.01%     PfRxCachedThrea  15657
0.01%     PfRxCachedThrea  23761
0.01%     httpThread       15336
0.01%     PfRxCachedThrea  23758
0.01%     PfRxCachedThrea  23694
0.01%     mface.co.kr/...  25089
0.01%     PfRxCachedThrea  20734
0.01%     mface.co.kr/...  24784
0.01%     mface.co.kr/...  26475
