Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Pid    Tid    Shared Object                                                                                                             Symbol
7.09%     glide-animation  15197  18657  /system/lib64/libhwui.so                                                                                                  _ZN4neon23S32_alpha_D32_filter_DXERK17SkBitmapProcStatePKjiPj
7.02%     glide-animation  15197  18658  /system/lib64/libhwui.so                                                                                                  _ZN4neon23S32_alpha_D32_filter_DXERK17SkBitmapProcStatePKjiPj
3.23%     glide-animation  15197  18658  /system/lib64/libhwui.so                                                                                                  _ZL12filter_scaleIXadL_ZL5clampiiEEXadL_ZL5clampiiEEXadL_ZL28extract_low_bits_clamp_clampiiEELb1EEvRK17SkBitmapProcStatePjiii
3.11%     glide-animation  15197  18657  /system/lib64/libhwui.so                                                                                                  _ZL12filter_scaleIXadL_ZL5clampiiEEXadL_ZL5clampiiEEXadL_ZL28extract_low_bits_clamp_clampiiEELb1EEvRK17SkBitmapProcStatePjiii
2.87%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZNK16PixelDiffFeature8GetValueEP7HyImageRK19LBFRegUpperShape32fS4_PfRf
2.81%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            __memcpy
2.49%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying23TestAndSetMarkBitForRefILb0EEEbPNS_6mirror6ObjectE
2.14%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying8MarkRootILb0EEEvPNS_6ThreadEPNS_6mirror19CompressedReferenceINS6_6ObjectEEE
1.97%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN26LBFFaceShapeRegressorStage11UpdateShapeEP7HyImagePfR19LBFRegUpperShape32fS4_
1.65%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZNK15LBFRandomForest5TraceEP7HyImageRK19LBFRegUpperShape32fS4_PfR18LocalBinaryFeature
1.59%     glide-animation  15197  18657  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/oat/arm64/base.odex                             com.bumptech.glide.gifdecoder.StandardGifDecoder.decodeBitmapData
1.55%     GLThread 2003    15197  23778  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!63b9d9fb4c21b2bdc608406093e134!781e7d0!
1.53%     glide-animation  15197  18658  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/oat/arm64/base.odex                             com.bumptech.glide.gifdecoder.StandardGifDecoder.decodeBitmapData
